Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
IRN,20,364,364,"Iran, Islamic Republic of",2,15492,14987,16014,15492,30.5,36.3,3.1
IRQ,20,368,368,Iraq,2,8626,8254,9015,8626,56.9,41.4,6.0
IRL,20,372,372,Ireland,2,3688,3481,3907,3688,91.5,146.0,9.7
ISR,20,376,376,Israel,2,4618,4322,4934,4618,78.7,103.2,8.4
ITA,20,380,380,Italy,2,57480,55193,59862,57480,87.0,186.1,9.1
CIV,20,384,384,"Côte d'Ivoire",2,3869,3606,4151,3869,45.4,28.1,4.7
JAM,20,388,388,Jamaica,2,1327,831,2118,1327,71.1,88.2,7.1
JPN,20,392,392,Japan,2,91916,74980,112678,91916,74.4,143.0,7.8
KAZ,20,398,398,Kazakhstan,2,4570,4206,4966,4570,36.9,46.3,4.2
JOR,20,400,400,Jordan,2,2598,2398,2814,2598,60.0,51.1,6.4
KEN,20,404,404,Kenya,2,7243,6897,7607,7243,40.8,25.6,4.5
PRK,20,408,408,"Korea, Democratic People Republic of",2,5943,5534,6382,5943,32.3,44.8,3.4
KOR,20,410,410,"Korea, Republic of",2,24772,24189,25369,24772,61.5,96.6,6.1
KWT,20,414,414,Kuwait,2,892,789,1009,892,49.8,52.6,5.5
KGZ,20,417,417,Kyrgyzstan,2,852,389,1864,852,25.3,25.1,2.7
LAO,20,418,418,"Lao People's Democratic Republic",2,1033,1015,1051,1033,31.6,27.7,3.3
LBN,20,422,422,Lebanon,2,2161,2000,2335,2161,57.9,65.2,6.2
LSO,20,426,426,Lesotho,2,187,116,301,187,18.9,17.0,2.0
LVA,20,428,428,Latvia,2,1263,1142,1397,1263,66.0,126.8,7.2
LBR,20,430,430,Liberia,2,622,410,943,622,33.6,23.6,3.5
LBY,20,434,434,Libya,2,1169,1017,1344,1169,31.0,33.5,3.2
LTU,20,440,440,Lithuania,2,1719,1559,1896,1719,62.7,120.2,6.9
LUX,20,442,442,Luxembourg,2,565,351,909,565,99.7,178.1,10.5
MDG,20,450,450,Madagascar,2,2875,2436,3393,2875,30.3,19.7,3.3
MWI,20,454,454,Malawi,2,1543,1374,1732,1543,25.2,15.1,2.6
