Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
MOZ,20,508,508,Mozambique,2,1207,1132,1287,1207,12.0,7.1,1.2
OMN,20,512,512,Oman,2,199,184,215,199,13.1,10.9,1.4
NAM,20,516,516,Namibia,2,227,209,247,227,22.5,16.7,2.5
NPL,20,524,524,Nepal,2,1149,1146,1152,1149,7.6,7.1,0.78
NLD,20,528,528,The Netherlands,2,3269,3076,3474,3269,14.5,37.9,1.6
NCL,20,540,540,New Caledonia,2,35,35,35,35,16.8,24.2,1.7
VUT,20,548,548,Vanuatu,2,11,10,12,11,8.9,6.9,0.74
NZL,20,554,554,New Zealand,2,759,665,867,759,15.5,30.5,1.7
NIC,20,558,558,Nicaragua,2,366,310,433,366,10.6,10.7,1.2
NER,20,562,562,Niger,2,1354,1262,1453,1354,19.0,10.5,2.0
NGA,20,566,566,Nigeria,2,16332,16114,16553,16332,26.8,15.3,2.9
NOR,20,578,578,Norway,2,765,660,887,765,11.0,28.1,1.1
PAK,20,586,586,Pakistan,2,15552,15333,15774,15552,18.6,14.0,2.1
PAN,20,591,591,Panama,2,297,240,368,297,10.5,13.4,1.1
PNG,20,598,598,Papua New Guinea,2,900,787,1029,900,26.7,19.8,2.8
PRY,20,600,600,Paraguay,2,608,526,703,608,16.9,16.9,1.8
PER,20,604,604,Peru,2,1951,1798,2117,1951,9.4,11.5,1.0
PHL,20,608,608,Philippines,2,11857,11735,11981,11857,21.5,21.2,2.3
POL,20,616,616,Poland,2,8723,8357,9105,8723,17.4,44.8,1.9
PRT,20,620,620,Portugal,2,2211,2049,2386,2211,14.5,41.4,1.5
GNB,20,624,624,Guinea-Bissau,2,109,91,131,109,16.7,10.4,1.8
TLS,20,626,626,Timor-Leste,2,49,47,51,49,10.2,7.2,1.1
PRI,20,630,630,Puerto Rico,2,504,410,620,504,14.3,33.8,1.6
QAT,20,634,634,Qatar,2,62,57,67,62,11.4,8.2,1.3
REU,20,638,638,"France, La Réunion",2,90,90,90,90,12.1,19.2,1.2
ROU,20,642,642,Romania,2,3877,3626,4145,3877,16.5,39.6,1.9
